Sample,Time,f_evals_max,log_minimization_history,minimization_gtol,minimization_threshold,minimize_every_iter,n_dims,sampling_method,seed,target_name,use_constraints
10000,2023-12-13-11:37:31,50000000,True,1e-11,1e-13,False,2,simplicial,585997,SICPOVM,False
10001,2023-12-13-11:38:00,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,False
10002,2023-12-13-11:44:48,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10003,2023-12-13-11:44:56,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10004,2023-12-13-14:56:59,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10005,2023-12-13-15:10:27,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10006,2023-12-13-15:10:49,50000000,True,1e-11,1e-13,True,8,simplicial,585997,SICPOVM,False
10007,2023-12-13-15:11:17,50000000,True,1e-11,1e-13,True,10,simplicial,585997,SICPOVM,False
10008,2023-12-13-15:13:52,50000000,True,1e-11,1e-13,True,12,simplicial,585997,SICPOVM,False
10009,2023-12-13-15:22:13,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10010,2023-12-13-15:27:57,50000000,True,1e-11,1e-13,False,6,simplicial,585997,SICPOVM,False
10011,2023-12-13-15:29:24,50000000,True,1e-11,1e-13,False,8,simplicial,585997,SICPOVM,False
10012,2023-12-13-15:30:07,50000000,True,1e-11,1e-13,False,10,simplicial,585997,SICPOVM,False
10013,2023-12-13-15:38:41,50000000,True,1e-11,1e-13,False,12,simplicial,585997,SICPOVM,False
10014,2023-12-13-16:06:43,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10015,2023-12-13-16:11:12,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10016,2023-12-13-16:23:22,50000000,True,1e-11,1e-13,False,6,simplicial,585997,SICPOVM,False
10017,2023-12-13-16:27:16,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10018,2023-12-13-16:34:44,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10019,2023-12-13-16:34:52,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,False
10020,2023-12-13-16:39:53,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10021,2023-12-13-16:40:49,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10022,2023-12-13-16:45:08,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10023,2023-12-13-17:15:14,50000000,True,1e-11,1e-13,False,18,simplicial,585997,SICPOVM,False
10024,2024-01-07-12:31:46,50000000,True,1e-11,1e-13,False,18,simplicial,585997,SICPOVM,False
10025,2024-01-07-12:32:02,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10026,2024-01-07-12:46:23,50000000,True,1e-11,1e-13,False,2,simplicial,585997,SICPOVM,False
10027,2024-01-08-12:25:54,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10028,2024-01-08-12:31:38,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10029,2024-01-08-16:13:34,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10030,2024-01-22-13:37:55,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10031,2024-01-22-13:57:17,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10032,2024-01-22-13:58:09,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10033,2024-01-22-13:58:49,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10034,2024-01-22-14:01:21,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10035,2024-01-22-14:34:35,50000000,True,1e-11,1e-13,False,2,simplicial,585997,SICPOVM,False
10036,2024-01-22-15:13:43,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,False
10037,2024-01-22-15:15:52,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10038,2024-01-22-15:18:08,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10039,2024-01-31-10:35:33,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,False
10040,2024-01-31-10:35:39,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10041,2024-01-31-10:35:44,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,False
10042,2024-01-31-10:35:51,50000000,True,1e-11,1e-13,True,8,simplicial,585997,SICPOVM,False
10043,2024-01-31-10:51:40,50000000,True,1e-11,1e-13,True,12,simplicial,585997,SICPOVM,False
10044,2024-01-31-11:30:41,50000000,True,1e-11,1e-13,False,12,simplicial,585997,SICPOVM,False
10045,2024-01-31-11:30:53,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10046,2024-02-04-17:36:58,50000000,True,1e-11,1e-13,False,4,simplicial,585997,SICPOVM,False
10047,2024-02-04-17:39:31,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10048,2024-02-04-20:02:34,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10049,2024-02-05-13:36:12,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10050,2024-02-05-13:43:37,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10051,2024-02-05-13:45:35,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10052,2024-02-05-13:56:10,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,False
10053,2024-02-07-10:37:31,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10054,2024-02-07-10:43:23,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10055,2024-02-07-10:47:49,50000000,True,1e-11,1e-13,True,4,simplicial,585997,SICPOVM,True
10056,2024-02-07-10:48:15,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10057,2024-02-07-10:52:20,50000000,True,1e-11,1e-13,True,8,simplicial,585997,SICPOVM,True
10058,2024-02-07-10:53:00,50000000,True,1e-11,1e-13,True,10,simplicial,585997,SICPOVM,True
10059,2024-02-07-10:53:49,50000000,True,1e-11,1e-13,True,12,simplicial,585997,SICPOVM,True
10060,2024-02-07-10:55:00,50000000,True,1e-11,1e-13,True,14,simplicial,585997,SICPOVM,True
10061,2024-02-07-11:20:48,50000000,True,1e-11,1e-13,True,2,halton,585997,SICPOVM,True
10062,2024-02-09-12:14:53,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10063,2024-02-09-12:22:17,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10064,2024-02-12-15:24:57,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10065,2024-02-12-15:26:05,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10066,2024-02-14-10:54:07,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10067,2024-02-14-11:20:36,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10068,2024-02-14-11:22:00,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10069,2024-02-14-15:22:53,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10070,2024-02-14-15:45:48,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10071,2024-02-14-15:48:34,50000000,True,1e-11,1e-13,True,2,simplicial,585997,SICPOVM,True
10072,2024-02-14-15:51:29,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10073,2024-02-14-15:53:06,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10074,2024-02-14-15:54:40,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10075,2024-02-14-16:08:20,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10076,2024-02-14-16:09:19,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10077,2024-02-14-16:09:38,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10078,2024-02-14-16:12:14,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10079,2024-02-14-16:12:42,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10080,2024-02-14-16:13:09,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10081,2024-02-14-16:13:42,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10082,2024-02-14-16:14:01,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10083,2024-02-16-11:56:52,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
10084,2024-02-16-13:09:53,50000000,True,1e-11,1e-13,True,6,simplicial,585997,SICPOVM,True
